Tinh,Sbd,HoTen,DToan,DVan,DNgoaiNgu,DLy,DHoa,DSinh,DSu,DDia,DGdcd
Vĩnh Phúc,00001109,Dư Phương Minh,9.4,2.0,2.6,,,,,,
Lào Cai,00001110,Nhâm Mỹ Tiên,7.0,4.4,3.0,,,,,,
Vĩnh Long,00001111,Võ Lan Vy,3.2,5.2,4.8,,,,,,
Điện Biên,00001112,Hứa Trà Giang,7.4,8.4,6.2,,,,,,
Bà Rịa – Vũng Tàu,00001113,Thạch Chí Trung,9.6,9.2,9.0,,,,,,
Yên Bái,00001114,Đào Minh Thắng,4.6,2.6,2.6,,,,,,
Thanh Hóa,00001115,Cù Minh Tùng,3.8,7.4,3.6,,,,,4.0,
Lai Châu,00001116,Mạch Trọng Tấn,9.8,8.2,8.0,,,,,,
Hòa Bình,00001117,Thạch Minh Kiệt,8.8,3.0,9.4,,,7.4,,,
Hải Phòng,00001118,Lưu Hồng Hoa,8.4,8.8,4.4,,4.8,,,,
Hải Dương,00001119,Mai Đức Phú,9.0,9.8,9.4,,,,,,
Kon Tum,00001120,Lý Quang Trí,9.0,6.4,5.2,,,,,,
Kiên Giang,00001121,Dư Minh Phương,9.0,8.4,5.2,,,,,,
Quảng Ngãi,00001122,Lâm Đan Quỳnh,4.2,3.8,9.0,,,,,,
Bà Rịa – Vũng Tàu,00001123,Dư Quang Thiện,8.0,7.6,6.0,5.4,,,,,
Bình Phước,00001124,Văn Chi Mai,4.0,4.2,8.0,,,,,,
Kiên Giang,00001125,Hoàng Thiên Trí,9.2,6.2,6.8,,,,,,
Quảng Ninh,00001126,Lại Anh Trí,2.8,6.4,4.6,,,,,,
Long An,00001127,Bành Khánh Minh,10.0,4.8,5.4,,,,,,
Tuyên Quang,00001128,Đoàn Gia Ngân,9.6,8.0,6.4,,,,,,
Cần Thơ,00001129,Trầm Xuân Thắng,6.6,3.6,3.4,,,,,,
Hà Tĩnh,00001130,Cù Trân Trân,7.0,9.0,2.8,,,,,,
Bến Tre,00001131,Hứa Duy An,4.6,3.0,5.4,,,,,,
Hải Phòng,00001132,Phùng Tuấn Minh,5.8,5.2,2.6,,,,,,
Hưng Yên,00001133,Tào Quang Phát,9.4,8.0,2.4,,,,0.4,,
Hải Dương,00001134,Văn Hải Lam,3.0,3.4,7.8,,,,,,
Bình Định,00001135,Triệu Khải Nguyên,5.8,4.6,9.8,,,,,,
Bắc Ninh,00001136,Hà Ngọc Hoa,2.6,6.0,8.8,,,,,,
Bắc Ninh,00001137,Tôn Thất Khánh Mai,2.6,4.0,4.2,,,,,,
Đắk Nông,00001138,Đào Bích Trâm,9.6,2.8,8.8,,,,,,
Cà Mau,00001139,Lê Yến Vi,9.2,6.6,9.6,,,,,,
Đồng Nai,00001140,Mạch Thiên An,9.0,5.2,2.2,,,,,,
Long An,00001141,Hà Hoàng Vinh,9.4,3.8,5.6,,,,,,
Đồng Tháp,00001142,Phan Phú Trọng,6.2,4.4,4.4,,,,,,
Cần Thơ,00001143,Mai Bảo Yến,7.8,6.0,4.8,,,,,,
Tuyên Quang,00001144,Võ Ngọc Vi,3.6,3.2,3.0,,,,,,
Bình Phước,00001145,Tất Linh Chi,9.0,4.2,2.8,,,,3.8,,1.6
Hà Nội,00001146,Quan Gia Tuấn,5.4,8.2,3.4,,,,,,
Vĩnh Phúc,00001147,Trịnh Hồng Ân,3.8,5.4,3.8,,,,,,
Bình Phước,00001148,Lữ Thúy An,4.2,4.4,6.6,,,1.4,,,
Ninh Bình,00001149,Từ Phương Đông,5.8,3.4,2.2,,,,,,
Phú Thọ,00001150,Mã Hoàng Lam,7.6,9.0,5.6,,,,,,
Quảng Bình,00001151,Liêu Thu Hằng,9.2,4.0,6.0,,,,,,
Bình Dương,00001152,Phan Thành Tài,3.8,7.2,8.0,,,,,,
Hải Phòng,00001153,Đặng Khả Tú,6.4,7.2,6.8,,,,,,
Thành phố Hồ Chí Minh,00001154,Văn Minh Hải,4.8,2.0,9.4,,,,2.4,,
Quảng Trị,00001155,Lương Quốc Toàn,2.4,3.6,7.2,,,,,,
Kon Tum,00001156,Thạch Ngọc Minh,9.6,3.4,2.8,,,,,,
Thái Bình,00001157,Thạch Hoàng Khang,7.6,5.4,3.0,,,,,,
Kiên Giang,00001158,Giang Trọng Phúc,2.6,3.0,3.6,,,,,,
An Giang,00001159,Thi Thu Ngọc,3.0,9.0,4.0,,,,,,
Kiên Giang,00001160,Huỳnh Phương Nhung,7.2,3.8,2.6,,,,,,
Cần Thơ,00001161,Khổng Hồng Quyên,5.2,6.6,6.6,,,,,,
Bạc Liêu,00001162,Cao Khánh Nguyên,2.8,2.0,5.4,,,,,0.6,
Vĩnh Long,00001163,Lâm Thái An,9.0,4.0,5.2,,,,,,
Tuyên Quang,00001164,Nghiêm Mai Thi,2.2,6.4,9.6,,,,,,
Hà Giang,00001165,Vòng Khánh Thư,6.8,6.4,6.4,,,,,,
Đồng Nai,00001166,Quan Trung Hiếu,6.8,10.0,9.4,,,,,,
Bình Định,00001167,La Tuấn Khanh,7.6,6.8,9.4,,,,,,
Lai Châu,00001168,Khưu Gia Khanh,2.4,8.0,6.0,,,,,,
Cần Thơ,00001169,Thiều Phúc Thịnh,8.0,2.2,9.4,,,,,0.4,
Đắk Nông,00001170,Liêu Song Thư,5.6,6.6,7.4,,,,1.8,,
Hòa Bình,00001171,Đinh Nguyên Khang,9.0,2.6,3.8,,,,,,
Nghệ An,00001172,Ngô Xuân Hiếu,6.6,2.4,5.0,,,,,,
Hòa Bình,00001173,Hồ Hà Giang,7.0,8.4,8.2,3.0,,,,,
Cà Mau,00001174,Quách Khánh Đăng,7.6,5.4,2.2,,,,,,
Ninh Bình,00001175,Vương Quỳnh Hoa,8.8,6.8,2.8,,,,,,
Gia Lai,00001176,Nguyễn Hoài An,7.6,4.2,2.6,,,,,,
Quảng Ninh,00001177,Dư Hữu Khánh,7.6,5.4,4.2,,,,,,
Đắk Lắk,00001178,Phùng Nguyên Phúc,9.0,6.4,2.2,,,,,,
Kiên Giang,00001179,Lâm Hoài Thu,7.0,3.0,6.0,,,,,,
Đồng Nai,00001180,Trương Đức Trọng,7.0,2.4,5.4,,,,,,
Bình Dương,00001181,Khưu Kỳ Duyên,4.8,7.8,3.6,,,,,,
Gia Lai,00001182,Chu Quang Lộc,5.0,6.2,7.2,,,,,,
Quảng Ninh,00001183,Trần Anh Đào,7.0,6.6,5.0,,,,6.0,,
Bắc Ninh,00001184,Ông Thái Tuấn,9.6,5.0,7.8,,,,,,
Hòa Bình,00001185,Sơn Phúc Huy,2.6,9.6,4.0,,,,,,
Tiền Giang,00001186,Hoàng Hồng Ánh,7.8,3.4,7.2,,,,,,
Đắk Nông,00001187,Tô Phúc Thiên,9.2,4.4,8.0,,,,,,
Tây Ninh,00001188,Ôn Bích Trân,9.6,2.0,8.6,,,,,,
Hưng Yên,00001189,Ngụy Đức Hòa,3.4,5.2,3.8,,,,,,
Lâm Đồng,00001190,Chế Ngọc Vy,7.2,2.6,5.2,,,,,,
Bà Rịa – Vũng Tàu,00001191,Trình Thanh Thiện,6.0,8.8,10.0,,,,,,
Vĩnh Phúc,00001192,Thạch Thành Long,8.0,8.2,9.2,,,,,,
Khánh Hòa,00001193,Trình Khánh Vi,5.6,7.0,3.2,,,,,,
Đồng Tháp,00001194,Vũ Thế Hiển,6.6,2.6,9.8,,,,,,
Thái Bình,00001195,Đàm Văn Hưng,6.2,3.4,8.6,,,,,,
Vĩnh Long,00001196,Hứa Lan Phương,6.2,10.0,9.8,,,,,,
Gia Lai,00001197,Thân Bảo Kim,7.0,7.6,3.0,,,,,,
Lâm Đồng,00001198,Nhâm Trúc Nhi,6.8,7.8,6.4,,,,,,
Vĩnh Long,00001199,Trình Kiều Trinh,7.4,7.6,9.4,,,,,,
Nam Định,00001200,Văn Phương Nghi,8.8,9.6,7.8,,,,,,
Trà Vinh,00001201,Viên Trung Tiến,9.8,7.8,3.6,,,,,,
Lào Cai,00001202,Tào Quốc Thành,3.6,8.0,2.2,,,,,,
Hải Phòng,00001203,Ôn Minh Tuệ,4.8,5.2,2.4,,,,,,
Cần Thơ,00001204,Bùi Thanh Trí,8.0,2.8,7.4,,,,,,
Hải Dương,00001205,Kim Hoàng Thành,4.2,7.4,6.4,,,,,,4.4
Ninh Bình,00001206,Quan Như Nguyệt,6.0,5.2,2.4,,,,,,
Hòa Bình,00001207,Ôn Phúc Lộc,2.6,5.4,6.4,,,,,,
Kon Tum,00001208,Liêu Thị Phương,5.8,9.8,6.6,,,,,,
Ninh Thuận,00001209,Trương Chí Công,8.6,9.2,3.4,,,,,,
Hưng Yên,00001210,Chu Lê Khanh,9.8,5.2,6.2,,,,,,
Phú Yên,00001211,Thi Ngọc Lam,2.6,9.2,4.4,,,,,,
Thái Bình,00001212,Lục Quốc Triệu,7.4,9.2,2.8,,,,,,
Sóc Trăng,00001213,Bành An Thy,5.4,9.8,5.2,,,,,,
Gia Lai,00001214,Lý Cẩm Tú,3.8,6.4,9.2,,,,,,
Thừa Thiên Huế,00001215,Vũ Thanh Quý,3.4,7.4,8.2,,,,,,
Ninh Bình,00001216,Ông Việt Anh,2.4,6.4,7.6,,,,,,
Yên Bái,00001217,Đàm Quế Anh,6.2,6.2,9.2,,,,,,
Quảng Nam,00001218,Quan Quỳnh Châu,2.0,2.6,4.8,,,,,,
Hòa Bình,00001219,Tôn Anh Quốc,3.6,5.8,9.2,,,,,,
Cần Thơ,00001220,Phù Nhật Nam,2.0,4.6,5.0,,,,,,
Đồng Tháp,00001221,Đào Minh Quý,3.0,7.8,9.6,,,,,,
Bến Tre,00001222,Trang Khả Tú,6.0,3.4,7.6,,,,,,
Quảng Nam,00001223,Giang Ngọc Tâm,4.2,3.8,4.6,,2.2,,,,
Ninh Thuận,00001224,Nghiêm Đình Khoa,9.0,3.2,4.0,,,,,,7.2
Thanh Hóa,00001225,Đoàn Gia Kiệt,2.0,6.6,6.8,,,,,,
Bình Thuận,00001226,Phương Mỹ Duyên,5.4,7.0,6.0,,,,,,
Điện Biên,00001227,Triệu Minh Ánh,5.4,5.0,8.0,,,,,,
Hà Nam,00001228,Kiều Quang Tuấn,8.8,10.0,9.0,,,,,,
Đắk Lắk,00001229,Trình Anh Duy,8.8,3.6,10.0,,,,,,
Bến Tre,00001230,Kiều Minh Nhật,7.2,8.4,4.4,,,,,,
Kon Tum,00001231,Kim Mai Trâm,6.8,9.0,6.0,,,,,,
Tiền Giang,00001232,Lã Bích Thảo,7.2,2.6,2.0,,,,,,
Bắc Kạn,00001233,Lư Hạo Nhiên,5.4,3.2,8.8,,,,,,
Vĩnh Phúc,00001234,Khưu Hồng Hạnh,4.4,8.0,4.2,,,,,,
Long An,00001235,Triệu Quỳnh Ngân,7.8,7.8,4.0,,,,,,
Lào Cai,00001236,Mai Phúc Lâm,2.0,3.8,4.2,,,,,,
Quảng Nam,00001237,Vũ Phi Hùng,9.4,2.8,6.0,,,,,,
Bình Dương,00001238,Lý Song Thư,4.0,6.8,6.2,,,,,,
Ninh Thuận,00001239,Ninh Quang Anh,6.2,5.6,3.4,,,,,8.6,
Thừa Thiên Huế,00001240,Lư Nhã Trúc,3.0,9.2,7.6,,,,,,
Quảng Bình,00001241,Doãn Lê Khanh,6.4,9.8,6.2,,,,,,
Bắc Giang,00001242,Hoàng Việt Anh,8.6,7.2,8.8,,,,,,
Quảng Trị,00001243,Thái Nhật Minh,3.2,9.2,5.4,,5.8,,,,
Vĩnh Long,00001244,Thạch Xuân Tùng,4.4,7.4,9.4,,,,,,
Hà Giang,00001245,Bạch Trọng Hiếu,10.0,5.4,4.0,,,,,,
Bình Dương,00001246,Nguyễn Ngọc Linh,9.0,8.6,4.0,,,,,,
An Giang,00001247,Từ Yến Chi,6.0,9.6,4.4,,,,,,
Hà Tĩnh,00001248,Thái Minh Thương,8.2,3.0,7.2,,,,,,
Cà Mau,00001249,Vương Hồng Đức,9.6,8.6,4.2,,,,,,
Tây Ninh,00001250,Tất Khang Thịnh,2.0,6.2,9.8,,,,,,
Quảng Bình,00001251,Tào Thiên Thảo,3.4,3.6,2.2,,,,,,
Bến Tre,00001252,Kiều Nhã Trúc,7.0,7.4,5.2,,,,,,
Điện Biên,00001253,Chung Minh Khánh,6.2,2.4,9.0,,,,,,
Bình Phước,00001254,Ông Yến Chi,3.6,6.6,6.6,,,,,,
Cần Thơ,00001255,Triệu Bảo Khoa,2.0,9.8,8.2,,,,,,
Thành phố Hồ Chí Minh,00001256,Quan Vĩnh Khang,7.4,3.4,10.0,,,,,,
Tây Ninh,00001257,Trang Thiên Phúc,10.0,5.8,3.6,,,,,,
Thanh Hóa,00001258,Ngô Khánh Quỳnh,3.0,6.2,8.4,,,,,,
Bình Phước,00001259,Hàng Như Tâm,5.8,5.0,8.8,,,,,,
Quảng Bình,00001260,Sơn Phúc Thịnh,3.6,8.6,5.6,,,,,,
Điện Biên,00001261,Vòng Anh Bảo,5.8,10.0,6.0,,,,,,
Trà Vinh,00001262,Trang Tú Trinh,5.8,6.0,9.8,,,,,,
Lai Châu,00001263,Lữ Gia Khôi,9.2,2.4,9.2,,,,,,
Lâm Đồng,00001264,Mã Việt Hưng,2.6,3.4,3.8,,,,,,
Bắc Giang,00001265,Vòng Văn Mạnh,7.2,9.2,6.0,,,,,,
Hà Nam,00001266,Kiều Gia Lạc,2.2,3.8,9.6,,,,,,
Khánh Hòa,00001267,Tôn Thất Hà Phương,9.8,4.4,6.6,,,,,,
Đắk Lắk,00001268,Lâm Hồng Yến,2.2,2.4,5.2,,,,,,
Phú Thọ,00001269,Đào Duy Thịnh,2.0,9.4,4.4,,,,,,
Nam Định,00001270,Triệu Bích Loan,3.2,2.2,7.4,,,,,,
Lai Châu,00001271,Lưu Thanh Thủy,4.8,2.8,5.2,,,,,,
Bình Phước,00001272,Lữ Xuân Thảo,8.4,3.0,5.6,,,,,,
Tiền Giang,00001273,Hàng Minh Thư,6.2,4.8,2.0,,,,,,
Hải Phòng,00001274,Viên Mai Khanh,9.2,3.6,7.0,,,,,,
Lạng Sơn,00001275,Phạm Minh Duy,7.2,9.8,5.2,,,,,,
Nam Định,00001276,Thạch Bích Thảo,5.6,9.8,7.4,,,,,,
Thái Bình,00001277,Sơn Hải Lâm,3.8,7.8,5.2,,,,,,
Cần Thơ,00001278,Mã Minh Toàn,6.8,9.0,3.4,,,,,,
Long An,00001279,Trịnh Thu Vân,5.2,7.6,6.6,,,,,,
Hòa Bình,00001280,Nhan Minh Khuê,3.6,6.8,2.2,,,,,,
Ninh Thuận,00001281,Hoàng Văn Trường,6.6,5.4,2.4,,,,,,
Hà Nam,00001282,Biện Yến Thy,5.4,4.0,8.8,,,,,,
Hà Nội,00001283,Đặng Quốc Minh,4.6,9.0,10.0,,,,,,
Điện Biên,00001284,Thân Tuệ Lâm,7.4,9.0,9.2,,,,,,
Hà Nội,00001285,Dư Phúc Vinh,5.0,9.4,3.8,,,,,,
Đà Nẵng,00001286,Trình Ngân Quỳnh,2.6,6.4,9.6,,,,,,
Hải Phòng,00001287,Hồng Thành Duy,4.8,2.8,7.0,,,,4.2,,
Hòa Bình,00001288,Cù Xuân Nghi,7.0,4.6,4.4,,,,,,
Hà Nội,00001289,Phương Quốc Vương,6.2,5.8,5.2,,,,,,
Hà Tĩnh,00001290,Đinh Ngọc Thành,8.8,8.6,5.8,,,,,,
Hà Nội,00001291,Lư Tuyết Vy,5.8,4.4,6.0,,,8.2,,,
Gia Lai,00001292,Trần Phương Minh,2.4,7.2,7.2,,,,2.4,,
Hòa Bình,00001293,Từ Hải Sơn,4.2,3.8,7.0,,,,,,
Quảng Bình,00001294,Dương Hiển Long,9.6,4.0,2.6,,,,,,
Cần Thơ,00001295,Mai Mỹ Yến,8.0,5.0,3.8,,,,,,
Đắk Lắk,00001296,Bạch Hải Anh,3.4,4.8,2.2,,,,,,
Kon Tum,00001297,Dương Bảo Phương,6.4,3.2,7.6,,,,,,
Cần Thơ,00001298,Lâm Bích Vân,4.4,4.4,9.2,,,,,,
Quảng Trị,00001299,Cao Phi Yến,8.2,2.0,2.6,,,,,,
Bắc Ninh,00001300,Trần Tấn Hưng,9.6,4.6,2.4,,,,,,
Đắk Lắk,00001301,Danh Mai Quỳnh,9.4,8.0,6.6,,,,,,
Bình Phước,00001302,Chế Ngân Giang,9.0,9.6,5.0,,,,,,
Tây Ninh,00001303,Vi Tấn Vinh,4.6,5.2,2.8,,,,,,
Nghệ An,00001304,Kiều Mạnh Tiến,5.2,8.8,7.4,,,,,,
Thái Bình,00001305,Cù Gia Như,4.0,5.2,2.8,,,,,,
Hà Nội,00001306,Phương Thanh Hồng,2.0,4.4,7.6,,,,,,
Bình Phước,00001307,Đoàn An Phú,10.0,2.8,2.8,,,,,,
Trà Vinh,00001308,Tô Xuân Như,2.4,6.2,3.8,,,,,,
Sơn La,00001309,Triệu Gia Lạc,7.2,2.0,6.6,,,,,,
Thừa Thiên Huế,00001310,Đỗ Đình Bảo,7.6,3.4,10.0,,,,,,
Yên Bái,00001311,Hồng Kiều Vy,7.4,3.6,5.0,,,,,,
Hà Giang,00001312,Đồng Văn Phong,8.4,7.6,4.2,,,,,,
Bà Rịa – Vũng Tàu,00001313,La Thu Ngân,3.6,6.0,8.6,,,,,,
Thái Nguyên,00001314,Cù Bảo Chi,6.8,6.2,8.2,,4.2,,,,
Gia Lai,00001315,Huỳnh Khánh Tiên,4.4,2.4,8.0,,,,,,
Kiên Giang,00001316,Lê Trúc Ly,7.6,2.8,3.4,,,,,,
Quảng Ngãi,00001317,Nhâm Hồng Ngọc,9.8,3.2,4.2,,,,,,
Nam Định,00001318,La Nam Phong,2.8,2.4,6.8,,,,,,
Hải Dương,00001319,Tô Yến Phương,5.2,9.8,6.6,,,,,,
Điện Biên,00001320,Bùi Bảo Anh,8.8,7.8,7.6,,,,,,
Nam Định,00001321,Dương Sơn Lâm,5.6,2.2,9.2,,,,,,
Khánh Hòa,00001322,Lâm Ngọc Trang,7.2,2.4,2.4,,,,,,
Bình Phước,00001323,Sơn Thúy Vy,2.2,3.4,5.8,,,,,,
Hà Giang,00001324,Văn Bảo Uyên,5.6,7.0,2.6,,,,,,
Phú Thọ,00001325,Hứa Hồng Loan,6.0,2.4,7.8,,,,,,
Vĩnh Phúc,00001326,Triệu Văn Cường,5.0,10.0,5.6,,,,,,
Thanh Hóa,00001327,Hứa Tú Như,6.0,7.0,2.0,,,,,,
Lâm Đồng,00001328,Mạc Bảo Di,9.2,8.6,9.0,,,,,,
Hà Tĩnh,00001329,Biện Mai Hương,9.8,9.0,8.6,,,,,,
Lai Châu,00001330,Dương Hải Nguyên,5.6,8.4,4.0,,,,,,
Điện Biên,00001331,Cao Gia Hoàng,8.6,7.4,4.0,,,,,,
Lai Châu,00001332,Võ Thành Phát,5.2,5.8,8.2,,,,,,
Quảng Nam,00001333,Vương Phương Lan,4.6,2.8,9.8,,,,,,
Nam Định,00001334,Đoàn Quốc Anh,4.0,9.2,6.2,,,,,,
Đồng Nai,00001335,Trịnh Văn Lộc,5.4,10.0,4.0,,,,,,
Quảng Ninh,00001336,Tào Quang Đạt,2.2,3.6,2.0,,,,,,
Nam Định,00001337,Quan Ngọc Quỳnh,9.2,6.4,10.0,,,,,,
Tây Ninh,00001338,Tào Minh Thành,9.2,8.8,7.8,,,,,,
Bắc Kạn,00001339,Doãn Quỳnh Giang,4.2,6.6,8.0,,,,,,
Đồng Tháp,00001340,Dư Thanh Quang,2.8,5.4,7.2,,,,,,
Bắc Giang,00001341,Nguyễn Khánh Trang,8.6,2.4,6.2,,,,,,
Thành phố Hồ Chí Minh,00001342,Trình Gia Long,3.6,6.6,8.2,,,,,,
Bà Rịa – Vũng Tàu,00001343,Thi Ngọc Duyên,2.4,10.0,7.2,,,,,,
Bạc Liêu,00001344,Đinh Phương Nhã,5.6,4.2,5.8,,,,,,
Đồng Tháp,00001345,Huỳnh Bảo Hân,5.8,3.4,4.4,,,,,,0.6
Thái Bình,00001346,Trương Hồng Phát,6.2,5.0,10.0,,,,,,
Kon Tum,00001347,Đỗ Khánh Nam,3.4,7.6,8.6,,,,,,
Lâm Đồng,00001348,Võ Ái Vân,2.6,6.0,4.2,,,,,,
Hà Nội,00001349,Tạ Thái Hà,9.0,9.8,2.0,,,,,,
Kon Tum,00001350,Từ Mỹ Hằng,4.2,7.2,8.0,,,,,,
Cần Thơ,00001351,Chế Văn Quang,6.0,5.6,9.6,,,,7.4,,
Sơn La,00001352,Lục Thảo Ly,9.2,3.0,8.6,,,,,,
Hà Nam,00001353,Hứa Đức Hòa,2.4,9.4,2.2,,,,,,
Bình Định,00001354,Âu Gia Khang,3.2,6.2,4.4,,,,,,
Tuyên Quang,00001355,Hàng Xuân Phát,8.2,3.8,8.0,,,,,,
Hòa Bình,00001356,Diệp Thanh Như,5.6,5.2,8.4,,,,,,
Ninh Bình,00001357,Bạch Thiên Ngân,2.0,4.8,9.8,,,,,,
Hòa Bình,00001358,Từ Hoàng Kim,10.0,4.8,8.4,,,,,,
Kon Tum,00001359,Trà An Bình,5.6,3.4,2.4,,,,,,
Điện Biên,00001360,Nguyễn Hoàng Phúc,3.2,9.2,2.0,,,,,,
Long An,00001361,Mai Văn Hưng,4.4,2.6,8.6,,,,,,
Yên Bái,00001362,Trang Thiên Nhi,2.0,4.4,8.4,,,,,,
Bình Thuận,00001363,Danh Mỹ Nghi,2.6,10.0,3.0,,,,,,
Đắk Lắk,00001364,Từ Hoàng Tuấn,2.8,5.2,5.4,,,,,,8.0
Gia Lai,00001365,Quách Thanh Thùy,8.2,3.0,6.2,,,,,,
Đắk Lắk,00001366,Mạc Ngọc Quý,5.4,3.4,9.2,,,,,5.6,
Thành phố Hồ Chí Minh,00001367,Lai Thiên Vũ,2.8,6.6,3.4,,,,,,
Bạc Liêu,00001368,Trà Tuấn Khang,2.2,3.0,5.0,,,,,,
Bình Dương,00001369,Vòng Tấn Khoa,9.4,9.4,4.0,,,,,,
Lâm Đồng,00001370,Phan Phước Lộc,2.8,4.2,3.8,,,,,,
Bình Định,00001371,Huỳnh Quỳnh Giang,7.0,6.0,5.4,,,,,,
Lai Châu,00001372,Hàng Trúc Ly,7.6,5.4,2.8,,,,,,
Yên Bái,00001373,Viên Hữu Nhân,4.4,2.4,7.2,,,,,,
Hải Phòng,00001374,Triệu Đức Hải,4.6,3.6,5.0,,,,,,
Vĩnh Long,00001375,Ngụy Ngọc Thái,5.8,6.4,4.8,,,,,,
Cần Thơ,00001376,Lữ Minh Sơn,5.0,6.6,9.0,,,,,,
Hà Giang,00001377,Lương Thái Dương,5.6,2.2,6.2,,,,,,
Thái Nguyên,00001378,Mạch Thế Danh,4.6,5.6,8.6,,,,,,
Sơn La,00001379,Liêu Xuân Thịnh,8.4,9.2,4.4,,,,,,
Lai Châu,00001380,Lã Xuân Yến,9.6,4.8,8.0,,,,,,
Sơn La,00001381,Phương Trường Thịnh,3.2,10.0,6.8,,,,,,
Quảng Ninh,00001382,Trương Xuân Hoàng,7.4,5.2,9.4,,,,,,
Bà Rịa – Vũng Tàu,00001383,Võ Khánh Nguyên,3.8,3.6,2.4,,,,,,
Ninh Bình,00001384,Lâm Bảo Long,8.2,7.2,2.6,,,,,,
Bình Phước,00001385,Lý Thành Trung,8.6,6.0,6.2,,,,,,
Hưng Yên,00001386,Mạc Nguyệt Minh,7.2,3.0,5.4,,,,,,
Yên Bái,00001387,Đồng Khang Huy,3.6,5.0,6.0,,,,,,
Kiên Giang,00001388,Viên Hà Trang,4.6,7.2,9.4,,,,,,
Bắc Kạn,00001389,Hoàng Văn Nghĩa,7.0,3.6,2.8,,,,,,
Bình Dương,00001390,Lý Kiều Oanh,9.6,5.6,5.2,,,,,,
An Giang,00001391,Lâm Anh Quốc,6.0,8.8,4.0,,,,,,
Quảng Ninh,00001392,Lã Vĩnh Thịnh,8.8,3.4,8.0,,,,4.0,,
Bắc Ninh,00001393,Đoàn Phúc Bảo,2.6,2.0,4.4,,,,,,
Hà Nội,00001394,Tiêu Minh Hải,3.6,4.4,5.2,,,,,,
Nghệ An,00001395,Đặng Gia An,6.4,8.8,8.6,,,,,,
Bắc Kạn,00001396,Hoàng Quốc Khang,3.6,3.8,5.4,,,,,,
Lâm Đồng,00001397,Hàng Văn Duy,3.8,4.8,6.4,,,4.0,,,
Điện Biên,00001398,Đặng Đức Nam,8.2,9.4,8.4,,7.2,,,,
Cần Thơ,00001399,Dư Phú Hưng,7.0,4.6,2.6,,,,,,
Trà Vinh,00001400,Võ Minh Cường,3.6,4.6,8.6,,,,,,
Sóc Trăng,00001401,Vũ Hồng Diễm,5.0,6.6,7.8,,,,,,
Hải Phòng,00001402,Vòng Hoàng Thy,5.0,4.6,7.8,,,,,,
Hà Giang,00001403,Liêu Thanh An,9.8,5.2,7.4,,,,,,
Bà Rịa – Vũng Tàu,00001404,Kiều Minh Phát,8.4,8.4,2.4,,,,,,
Vĩnh Long,00001405,Chung Gia Long,8.0,9.0,5.2,,,,,,
Tây Ninh,00001406,Ông Chí Kiên,8.4,6.8,4.8,,,,,,
Bình Phước,00001407,Từ Ngọc Uyên,4.6,8.6,3.8,,,,,,
Tiền Giang,00001408,Võ Anh Thơ,3.0,4.0,2.2,,,,,,
Hà Nam,00001409,Mạch Phúc Hưng,5.2,9.0,3.4,,,,,,
Cà Mau,00001410,Đàm Đức Hải,6.0,3.8,7.4,,,,,,
Thành phố Hồ Chí Minh,00001411,Liêu Khánh Nam,2.0,3.4,7.6,,,,,,
Nghệ An,00001412,Nguyễn Nhật Thiên,9.2,7.8,3.0,,,,,,
Sóc Trăng,00001413,Ninh Gia Quỳnh,6.0,10.0,6.0,,,1.8,,,
Đồng Nai,00001414,Biện Nhã Vy,2.0,4.0,8.2,,,,,,
Vĩnh Long,00001415,Dư Trọng Nghĩa,3.0,9.6,7.0,8.2,,,,,
Hòa Bình,00001416,Nghiêm Khánh Hưng,3.6,4.8,2.0,,,,,,
An Giang,00001417,Phạm Thanh Lâm,8.8,8.8,9.6,,,,,,
Kiên Giang,00001418,Hà Hồng Liên,6.2,8.8,6.0,,,,,,
Trà Vinh,00001419,Lý Uyển Nghi,8.4,2.6,9.8,,,,,,
Yên Bái,00001420,Trình Nguyên Phong,8.4,6.2,6.4,,,,,,
Thanh Hóa,00001421,Vương Mỹ Uyên,9.8,8.2,7.8,,,,,,
Đồng Tháp,00001422,Phù Đình Bảo,6.4,5.0,9.8,,,,,,
Lai Châu,00001423,Quách Thảo Trang,6.4,8.0,7.8,,,9.6,,,
Lâm Đồng,00001424,Hứa Hoài Phương,5.4,8.6,6.6,,,,,,
Bình Phước,00001425,Tôn Nữ Gia Lộc,2.6,2.8,2.4,,,,,,
An Giang,00001426,Võ Thúy Vi,10.0,2.2,6.8,,,,,,
An Giang,00001427,Trần Gia Phúc,7.6,7.2,3.8,,,,,,
Quảng Nam,00001428,Đồng Kim Hiền,8.8,2.2,6.0,,,,,,
Bình Dương,00001429,Lục Quỳnh An,3.8,6.2,6.4,,,,,,
Quảng Nam,00001430,Trương Hoàng Gia,5.8,9.6,6.0,,,,,,
Hải Phòng,00001431,Lưu Mỹ Yến,4.0,9.4,7.4,,,,,,
Quảng Bình,00001432,Chung Mai Trâm,7.8,6.2,6.4,,,,,,
Hà Nội,00001433,Phương Hoàn Mỹ,3.2,2.6,6.6,,,,,,
Vĩnh Phúc,00001434,Phù Minh Thức,9.2,8.2,8.0,,,,,,
Thừa Thiên Huế,00001435,Liêu Nhật Hạ,7.0,5.6,4.2,,,,,,
Quảng Nam,00001436,Hoàng Ly Na,4.2,4.4,3.6,,,,,,
Lâm Đồng,00001437,Quan Phương Duy,10.0,3.6,6.0,,,,,,
