Tinh,Sbd,HoTen,DToan,DVan,DNgoaiNgu,DLy,DHoa,DSinh,DSu,DDia,DGdcd
Quảng Ninh,00008251,Phan Tuệ Anh,3.4,2.4,8.4,,,,3.2,,
Hà Nam,00008252,Dương Chí Trung,5.4,3.8,10.0,,,,,,
Hà Giang,00008253,Lai Đại Phúc,3.8,8.8,8.4,,,,,,
Nghệ An,00008254,Danh Anh Phát,2.0,7.4,5.8,,,,,,
Sơn La,00008255,Chung Đông Nghi,7.2,7.8,2.8,,,,,,
Tuyên Quang,00008256,Lưu Ngọc An,6.6,5.4,9.4,,,,,,
Quảng Bình,00008257,Tôn Thất Hồng Quyên,6.6,8.2,7.0,,,,,,
Thành phố Hồ Chí Minh,00008258,Châu Hoài Thương,6.4,8.6,8.8,,,,,,
Đắk Nông,00008259,Phù Thúy Hà,3.4,6.8,10.0,,,,,,
Cà Mau,00008260,Cù Minh Trí,7.0,8.4,2.2,,,,,,
An Giang,00008261,Vi Đình Toàn,9.8,7.8,9.4,,,,,,
Bắc Giang,00008262,Giang Bảo Trúc,4.0,6.6,8.2,,6.0,4.4,6.4,,
Lạng Sơn,00008263,Khưu Kỳ Nam,7.2,8.8,8.2,,,,,,
Quảng Ngãi,00008264,Phạm Mai Trâm,9.8,9.4,9.8,,,,,,9.2
Đắk Nông,00008265,Diệp Bảo Nam,8.0,2.8,6.8,,,,,,
Kon Tum,00008266,Trình Thanh Quyên,6.6,7.4,5.6,,,,,,
Cao Bằng,00008267,Quách Dạ Thảo,4.6,2.0,2.4,,,,8.4,,
Đà Nẵng,00008268,Phương Minh Thành,6.8,2.2,8.6,,,,,,
Đắk Nông,00008269,Tôn Nữ Nhã Kỳ,2.0,5.2,2.4,,,,,,
Tây Ninh,00008270,Thiều Duy Phúc,3.4,4.8,4.4,,,,,,
Thanh Hóa,00008271,Lục Thái Sơn,7.2,3.2,8.2,,,,,,
Long An,00008272,Lại Thảo Minh,5.2,8.0,8.4,9.2,,,,,
Hà Nội,00008273,Diệp Xuân Trúc,8.4,10.0,6.6,6.8,9.4,,,4.4,
Quảng Trị,00008274,Chế Tuấn Kiệt,5.0,9.4,5.6,,,,2.2,6.8,
Hậu Giang,00008275,Văn Hải Lâm,6.2,7.8,8.6,,,,,,
Đồng Tháp,00008276,Tào Trí Đức,9.0,8.2,8.8,,,,,,
Đồng Nai,00008277,Trang Trúc Mai,3.2,10.0,4.4,,,,,,0.2
Khánh Hòa,00008278,Lâm Trọng Hiếu,4.2,8.0,6.8,,,,,,
Bắc Giang,00008279,Phùng Châu Anh,7.2,8.8,7.4,,,,,,
Lạng Sơn,00008280,Bành Công Vinh,5.8,5.4,7.4,,,,,,
Tuyên Quang,00008281,Mạch Tuyết Nghi,4.8,8.4,3.8,,,,,,
Đồng Tháp,00008282,Hồ Như Phúc,8.0,4.2,7.8,,5.4,,,,
Hải Phòng,00008283,Tào Thảo Nghi,6.6,8.6,7.6,,,,,,
Đắk Lắk,00008284,Lê Diễm Hằng,7.8,9.0,8.8,,,4.0,,8.2,
Hải Phòng,00008285,Chung Đình Khang,2.2,2.6,2.8,,,,,,
Hà Nam,00008286,Ôn Tuấn Anh,2.4,9.8,2.4,,,,,,
Tây Ninh,00008287,Ngụy Nguyên Bảo,8.2,4.6,9.4,,,,,,2.6
Bắc Kạn,00008288,Danh Khánh Vi,8.0,10.0,5.8,,,,,,
Đắk Lắk,00008289,Kiều Bích Vân,6.4,6.4,5.4,,,,,,
Phú Thọ,00008290,Ngụy Kim Ngọc,3.6,7.2,6.4,,,,,,
Hà Giang,00008291,Mai Hồng Nga,3.2,5.6,10.0,,,,,,
Bình Dương,00008292,Ông Duy Hưng,9.8,6.4,4.8,,,,,,
Đồng Nai,00008293,Quách Bảo Kha,4.4,4.2,2.0,,,,,2.4,
Thành phố Hồ Chí Minh,00008294,Kim Ngọc Quý,9.4,9.0,7.4,,,,,,
Bắc Ninh,00008295,Hồng Thùy Chi,3.6,7.4,4.6,,,2.8,,,
Phú Yên,00008296,Phù Tấn Minh,6.8,5.2,8.8,,8.8,,,10.0,
Yên Bái,00008297,Trương Thu Hà,5.4,10.0,6.6,,,,2.8,,
Bình Thuận,00008298,Lữ Trung Nam,8.4,8.6,7.4,,,,,,
Thanh Hóa,00008299,Huỳnh Mỹ Hạnh,6.4,4.4,4.6,,8.8,,,,
Hưng Yên,00008300,Trần Mai Khôi,4.0,7.8,2.0,,,,,,
Kon Tum,00008301,Đường Thảo Anh,8.2,5.0,6.8,1.4,,,,,
Kiên Giang,00008302,Quan Văn Phúc,5.0,4.8,7.8,,,,,,
Vĩnh Phúc,00008303,Nhan Như Tâm,3.0,8.6,4.2,,,,,,
Tuyên Quang,00008304,La Minh Lộc,8.0,5.8,9.0,,,,,,
Gia Lai,00008305,Lưu Văn Minh,5.2,6.2,3.6,,,,,,
Cao Bằng,00008306,Sơn Hà Vi,9.2,6.2,9.6,,,,,,
Thừa Thiên Huế,00008307,Tôn Phi Nhung,9.2,8.0,3.6,,,,7.0,,
Bình Định,00008308,Lê Hoài Ân,7.6,8.0,9.8,,4.6,,,5.8,4.6
Quảng Ninh,00008309,Mạc Diệu Linh,9.6,4.2,8.6,,,,0.8,,
Thái Nguyên,00008310,Danh Nhật Linh,9.8,4.0,6.4,,,,,,
Tuyên Quang,00008311,Mạc Cát Tiên,2.0,9.8,5.2,,,,,,
Nghệ An,00008312,Lại Thanh An,8.6,9.0,5.4,,,,,,
Bình Dương,00008313,Lã Mỹ Ngân,2.0,2.2,3.4,,,,,,
Lai Châu,00008314,Đồng Khánh My,3.8,8.8,8.0,,,,,,
Kon Tum,00008315,Phương Minh An,2.4,3.6,5.8,,,,10.0,,
Vĩnh Long,00008316,Tào Quang Tuấn,7.6,2.0,6.2,,,,5.4,,
Lâm Đồng,00008317,Hàng Thanh Trúc,8.4,10.0,3.0,,,,,,
Ninh Thuận,00008318,Lâm Ngọc Đức,6.2,5.6,9.2,,,,,,
Lạng Sơn,00008319,Thiều Cẩm Giang,5.4,5.2,5.0,,,,,,
Bạc Liêu,00008320,Hà Công Huy,6.6,7.8,5.4,7.2,,,,,
Lâm Đồng,00008321,Đỗ Ngọc Ngân,7.2,5.0,6.2,,,,,,
Tiền Giang,00008322,Huỳnh Trúc Giang,7.8,7.2,2.6,,,,,,
Long An,00008323,Hứa Phương An,2.0,3.4,7.8,,,,1.6,,
Thành phố Hồ Chí Minh,00008324,Giang Hoàng Sơn,4.4,6.6,6.2,,,,,,
Thừa Thiên Huế,00008325,Chung Phương Mai,5.4,5.2,2.8,,,,,,
Bình Định,00008326,Liêu Huỳnh Hương,6.4,2.4,9.0,0.0,,,,,9.8
Tuyên Quang,00008327,Triệu Tấn Khoa,2.0,4.6,2.8,,,,,,
Bình Thuận,00008328,Bùi Trang Anh,6.8,3.6,5.0,,,,,,
Kon Tum,00008329,La Hữu Phúc,4.4,2.4,2.0,,,,,,1.4
Cao Bằng,00008330,Đường Tuần Kiệt,6.8,4.2,7.8,,,,,,5.4
Hà Nội,00008331,Lương Quang Bảo,7.8,5.8,2.6,,,,,,
Quảng Nam,00008332,Sơn Ngọc Duy,2.6,7.2,4.2,,,3.0,,,
Hà Nội,00008333,Nhâm Thúy Hằng,4.2,2.4,9.0,,,,,,
Sóc Trăng,00008334,Trà Minh Luân,6.2,6.4,5.4,,,,,,
Hòa Bình,00008335,Lý Tấn Phong,3.2,3.8,3.4,,,5.2,3.0,,
Lai Châu,00008336,Triệu Nhã Quỳnh,4.4,3.6,2.8,,7.6,,,1.6,
Hòa Bình,00008337,Mạc Trúc Lam,3.0,6.4,5.4,,,,,,0.8
Bình Thuận,00008338,Lê Minh Hà,6.2,8.0,3.0,,,,,,9.8
Phú Yên,00008339,Thi Mỹ Châu,2.2,6.0,7.0,,,,,,
Đồng Nai,00008340,Nhâm Hoàng Thiện,2.6,4.0,7.8,,7.2,,,,
Kon Tum,00008341,Phan Trúc Ngân,10.0,3.0,8.4,,,,,,
Cao Bằng,00008342,Tống Xuân Hồng,10.0,6.6,4.2,,,,,,
Phú Yên,00008343,Cù Đức Hải,5.2,4.0,5.0,7.8,,,,,
Bắc Ninh,00008344,Mã Văn Kiệt,9.8,9.8,9.2,,,,,,
Bắc Giang,00008345,Giang Kim Xuyến,3.0,9.2,9.2,,,,,,
Tuyên Quang,00008346,Giang Uyên Thư,3.8,6.0,7.8,,,,,,1.8
Vĩnh Phúc,00008347,Thiều Thúy Hằng,2.8,7.4,2.0,,,,,,
Vĩnh Phúc,00008348,Đàm Huỳnh Đức,7.0,10.0,6.2,,,,,,3.0
Tây Ninh,00008349,Dương Nhật Nam,8.8,3.8,7.6,,,,,,
Long An,00008350,Hứa Khánh Quỳnh,9.2,4.0,5.4,,,,,,
Bắc Ninh,00008351,Chế Thu Hiền,7.6,10.0,4.2,,,,,,
Vĩnh Phúc,00008352,Lương Mạnh Tiến,7.0,10.0,4.2,,,,,,
Thành phố Hồ Chí Minh,00008353,Chế Gia Minh,6.4,7.8,4.2,,,,,4.4,
Đắk Nông,00008354,Thạch Minh Dũng,9.0,9.6,6.4,,,,,,
Nghệ An,00008355,Phùng Bảo Khánh,8.0,2.2,4.2,,2.6,,,3.2,
Hà Nam,00008356,Đỗ Nhật Long,5.4,2.4,4.6,,,,,,
Bắc Ninh,00008357,Khổng Trúc My,5.0,3.2,5.2,,,,,7.4,
Thanh Hóa,00008358,Thạch Vĩnh Thịnh,8.6,4.2,4.6,,,,,,
Bắc Kạn,00008359,Tôn Nữ Thanh Bình,6.6,4.2,5.6,,,0.8,,,1.0
Hưng Yên,00008360,Hàng Trung Đức,7.4,5.0,3.8,,,,,,
Cà Mau,00008361,Châu Thành Tâm,2.2,2.0,3.6,,,,,,
Phú Yên,00008362,Huỳnh Uyên Thảo,9.8,7.0,8.2,,,,,,
Kon Tum,00008363,Mai Hiếu Thuận,6.8,5.2,3.2,,4.8,,,,
Vĩnh Long,00008364,Châu Hoài Anh,5.2,5.8,2.4,,,,,,2.2
Ninh Bình,00008365,La Anh Phương,7.6,3.2,9.0,,,,,,
Sơn La,00008366,Tạ Cẩm Giang,3.4,6.8,8.6,,,6.6,,,
Hưng Yên,00008367,Lữ Ánh Dương,9.8,6.8,6.4,,,,,,
Yên Bái,00008368,Lục Khánh Lam,4.2,8.6,3.0,,,,,,
Bắc Ninh,00008369,Lư Uyên Thư,4.2,9.6,3.6,,,,3.8,,
Kon Tum,00008370,Âu Đức Tài,3.4,3.0,7.6,,,,,,
Thái Nguyên,00008371,Chung Trí Nhân,3.0,6.6,6.0,0.8,,,,,
Kon Tum,00008372,Giang Tuyết Như,4.8,2.8,3.2,,,,,9.4,
Lai Châu,00008373,Dư Khương Duy,7.2,2.4,10.0,,,,,,5.6
Lạng Sơn,00008374,Hoàng Khang Huy,4.2,8.6,8.4,,,,,,
Quảng Trị,00008375,Quan Tiến Hưng,9.8,6.6,7.6,,,,,7.2,
Bắc Ninh,00008376,Đào Nam Khánh,3.2,9.4,9.8,9.2,,,,,
Hà Tĩnh,00008377,Phương Quỳnh Nghi,2.8,6.4,6.4,,,,,,
Bắc Kạn,00008378,Tăng Nam Long,7.8,3.8,9.6,,,,,,
Bắc Giang,00008379,Đường Ngọc Quý,8.0,3.0,6.0,7.8,8.0,,,,
Quảng Ngãi,00008380,Thái Khánh Hoàng,6.6,2.0,4.8,,,,,,
Lạng Sơn,00008381,Lã Duy Tân,3.6,8.6,4.8,,,,,,
Quảng Nam,00008382,Ôn Thanh Huyền,5.0,4.4,8.8,,,,,,
Hải Dương,00008383,Vương Mai Anh,2.0,5.8,8.2,,,,,,
Bến Tre,00008384,Thái Tiểu My,3.4,8.0,3.4,,,,,,
Bình Định,00008385,Kiều Huy Anh,8.2,4.2,8.2,,,,,,
Kiên Giang,00008386,Khổng Công Hiếu,8.4,2.6,2.2,,,,5.0,,0.4
Thái Nguyên,00008387,Mạc Hiếu Thảo,10.0,5.8,6.6,,,,,,
Ninh Thuận,00008388,Quách An Nhi,3.4,5.4,3.0,,,,,5.4,
Tuyên Quang,00008389,Dư Kim Uyên,7.2,8.6,9.2,,,,,3.2,
Thái Bình,00008390,Hàng Kim Ngọc,9.6,5.0,8.8,,3.2,4.2,,,6.4
Điện Biên,00008391,Trần Lan Hương,2.0,2.4,5.8,,,,10.0,,
Đắk Lắk,00008392,Lại Thanh Tâm,9.0,9.8,3.8,1.2,,,,,
Điện Biên,00008393,Lữ Hồng Phúc,5.8,8.0,3.4,,,,,,
Long An,00008394,Thân Cẩm Vân,6.4,7.2,6.4,0.0,,,1.0,,
Vĩnh Phúc,00008395,Cao Hoài Anh,9.0,6.4,9.6,,,7.4,,,
Thành phố Hồ Chí Minh,00008396,Đàm Minh Duy,9.6,6.8,7.0,,,,,,
Kiên Giang,00008397,Hà Nhật Tiến,3.4,8.6,2.4,,6.4,,6.8,,
Gia Lai,00008398,Trang Minh Hải,7.6,7.2,7.6,,,,,,
Hậu Giang,00008399,Trang Tuệ Nhi,9.0,5.2,9.0,,,,,,
Lâm Đồng,00008400,Biện Đức Trí,8.6,3.6,6.8,,,,,,
Quảng Ngãi,00008401,Lã Minh Mẫn,6.0,4.8,3.6,,,,,,
Thành phố Hồ Chí Minh,00008402,Tôn Nữ Bảo Quân,7.8,4.2,3.6,,,,,,
Thừa Thiên Huế,00008403,Giang Ngọc Hương,5.2,6.2,3.2,,,,,,
Tuyên Quang,00008404,Trà Trung Tính,10.0,3.0,2.2,,,,,,
Đồng Nai,00008405,Dư Phương Anh,2.4,9.8,6.8,,,,,,
Hải Phòng,00008406,Lữ Thái Hòa,9.4,5.2,2.4,,,,,,2.0
Nghệ An,00008407,Hà Thu Ngân,5.2,7.2,9.2,,,,,,
Đồng Nai,00008408,Ôn Anh Bảo,2.0,6.2,5.6,4.4,,,,,
Đà Nẵng,00008409,Chung Khánh Ngọc,5.4,3.6,2.2,,8.8,,1.0,,
Đà Nẵng,00008410,Giang Tường Vân,5.6,9.0,7.8,,,,,,
Bắc Kạn,00008411,Cù Thục Nghi,2.0,10.0,5.8,,,,,,
Bắc Ninh,00008412,Trương Minh Phúc,7.8,9.6,5.8,,,,,,
Bắc Kạn,00008413,Trương Thảo Uyên,4.0,5.0,2.6,,,,,,2.2
Bình Phước,00008414,Nghiêm Nhất Huy,2.6,8.4,8.8,,,,,,
Hà Giang,00008415,Ôn Hoàng Bảo,9.8,5.2,4.2,,,,,,9.8
Bắc Giang,00008416,Thiều Vĩnh Phát,2.8,2.6,2.6,,,,,,
Cần Thơ,00008417,Tô Nhật Hoàng,6.2,7.8,9.2,,,,,3.8,
Bình Dương,00008418,Phạm Nguyên Chương,9.4,6.0,4.0,,,,,,
Bạc Liêu,00008419,Sơn Thanh Dũng,9.8,5.0,2.0,,,,,,
Cà Mau,00008420,Lâm Huy Bảo,3.6,2.4,5.8,,,,10.0,,
Phú Thọ,00008421,Hồng Chí Huy,7.4,7.4,6.4,,,,,,
Hậu Giang,00008422,Tống Thiện Phúc,4.4,7.6,8.2,,,,,,
Hà Giang,00008423,Hàng Xuân Phúc,7.8,5.2,2.6,,7.0,,,,
Sơn La,00008424,Phùng Nhật Vy,4.6,9.2,5.4,,,,,,
Trà Vinh,00008425,Tất Gia Hoàng,9.0,2.2,5.8,,,4.6,,,
Đồng Tháp,00008426,Lưu Đức Long,8.4,4.2,7.8,,,,2.8,,
Lai Châu,00008427,Quách Trúc Quân,5.8,7.8,6.6,,,0.8,,,
Bình Định,00008428,Đinh Hải Lâm,7.6,9.8,9.4,,,,,,
Hà Nam,00008429,Trương Lan Phương,6.4,5.0,2.2,,,,,,
Thái Nguyên,00008430,Đoàn Minh Minh,4.2,4.0,4.4,,,,,,
Thái Bình,00008431,Danh Tuấn Phong,4.6,6.2,5.8,,0.0,,,,
Bến Tre,00008432,Trang Thảo Anh,8.4,9.8,7.4,,,,,,6.8
Nghệ An,00008433,Mã Minh Trí,7.8,4.6,7.0,,,,,,
Lai Châu,00008434,Lai Thanh Tuyền,6.0,7.2,4.4,,,9.8,,,
Phú Yên,00008435,Trầm Nhật Cường,4.4,9.4,5.6,,6.4,,,,
Tây Ninh,00008436,Lư Việt Hưng,2.2,9.8,6.4,,,,,,
Bình Thuận,00008437,Hứa Trọng Phú,9.0,6.2,8.2,,,4.2,,,9.2
Quảng Ngãi,00008438,Khưu Đức Tâm,9.4,2.0,4.6,,5.4,,,3.2,
Phú Yên,00008439,Danh Tuấn Vũ,9.4,5.2,4.4,,,,,,
Kiên Giang,00008440,Lại Xuân Trúc,6.0,4.0,9.2,,,,,,
Ninh Thuận,00008441,Hồ Tuyết Trân,9.4,6.8,6.6,,,,,,6.6
Bình Dương,00008442,Trà Quang Minh,6.0,7.6,7.0,,,3.0,,,
Hà Nam,00008443,Hồ Huỳnh Đức,3.4,2.6,4.2,,,,,,
Thừa Thiên Huế,00008444,Chung Gia Phú,7.4,4.0,2.2,,,,,,
Bắc Ninh,00008445,Đỗ Hải Băng,8.6,7.4,5.4,,,,,,
Sóc Trăng,00008446,Nghiêm Quốc Hùng,6.6,8.0,8.2,,,,,,
Điện Biên,00008447,Phạm Uyên Thư,10.0,5.8,10.0,,,,,,
Lạng Sơn,00008448,Trầm Ngọc Hồng,9.6,9.2,3.2,,,,,,
Ninh Thuận,00008449,Thi Bảo Trâm,4.4,8.4,2.0,,,,,,
Lâm Đồng,00008450,Biện Linh Đan,9.2,7.8,8.6,,,6.2,,,
Ninh Thuận,00008451,Chung Hà Mi,8.8,4.8,5.6,,,,,,
Thái Nguyên,00008452,Bành Quốc Thành,7.4,2.2,7.4,,,,,,
Nghệ An,00008453,Đào Đại Dương,6.0,7.8,3.8,,,,,,1.2
Thành phố Hồ Chí Minh,00008454,Dương Trúc Mai,10.0,2.8,6.2,,,,,,
Quảng Ninh,00008455,Hồ Hoài An,9.6,7.0,3.0,,,,5.6,,7.4
Ninh Thuận,00008456,Tôn Thất Quỳnh Hoa,8.8,7.0,9.0,,,,,,
Hòa Bình,00008457,Khổng Tuấn Nghĩa,3.6,10.0,5.4,,2.8,,,,
Ninh Thuận,00008458,Tào Nhật Phương,6.6,2.0,2.8,,,,,,
Đắk Lắk,00008459,Thi An Thy,7.8,9.6,8.4,,,,,,
Bắc Kạn,00008460,Lư Huy Anh,6.4,8.0,2.2,,,,,,
Bắc Ninh,00008461,Lã Đại Phúc,5.6,9.0,8.4,,,,,,
Đà Nẵng,00008462,Trầm Bảo Tiên,6.0,3.2,5.0,6.4,,,,,
Hậu Giang,00008463,Tăng Phúc Lộc,8.6,9.4,5.6,,,,,,
Bình Thuận,00008464,Hồ Bảo Trúc,2.6,2.8,8.0,,,,,,
Bà Rịa – Vũng Tàu,00008465,Lục Minh An,8.4,3.2,9.0,,,,,,
Yên Bái,00008466,Lâm Thế Hào,8.4,9.2,6.8,,,,,0.8,4.4
Hưng Yên,00008467,Nguyễn Uyên Thảo,9.4,4.4,6.8,,,,,,
Lâm Đồng,00008468,Nhan Lê Huy,7.8,7.2,8.8,,,,,,
Bình Thuận,00008469,Võ Xuân Phương,2.6,4.4,7.8,,,,,,
Bình Thuận,00008470,Đồng Thanh Bình,8.4,4.4,7.6,,,,,,
Vĩnh Long,00008471,Thiều Ái Như,7.6,4.4,3.4,,,,,,
Sóc Trăng,00008472,Phùng Nguyệt Ánh,6.8,2.8,4.8,,,,5.0,,
Quảng Trị,00008473,Thân Mạnh Khang,9.6,4.2,8.2,,,,,,5.6
Phú Thọ,00008474,Biện Đăng Khoa,6.2,5.6,8.2,,,,,4.8,
Hòa Bình,00008475,Lã Kim Uyên,3.6,5.2,5.8,,,,,8.6,
Trà Vinh,00008476,Lại Nhật Khoa,8.0,5.0,10.0,,,,,,
Bắc Kạn,00008477,Tào Hồng Nhi,2.0,3.2,6.8,,,,,,
Quảng Nam,00008478,Bạch Quế Chi,2.0,4.0,2.8,,,,2.6,5.0,
Cà Mau,00008479,Khưu Bảo Khôi,8.0,3.0,5.4,8.6,,,,,
Bến Tre,00008480,Ngụy Tuấn Đạt,3.0,9.0,3.0,,,,,,
Thanh Hóa,00008481,Đoàn Minh Lộc,8.0,7.8,9.4,,,,,,
Sóc Trăng,00008482,Chu Mỹ Tuyền,4.2,7.8,4.6,,,,,,
Hậu Giang,00008483,Quan Duy Anh,4.4,6.2,3.8,,,,,,
Gia Lai,00008484,Lữ Kim Tiền,9.0,9.8,7.6,,,,,,
Nghệ An,00008485,Tiêu Trí Nguyên,7.4,7.0,2.6,,,,,,
Phú Yên,00008486,Đào Ánh Xuân,2.4,2.4,2.0,,,,,,
Vĩnh Phúc,00008487,Trang Kiều Diễm,7.0,10.0,2.2,,,,,,
Phú Thọ,00008488,Vòng Minh Thuận,9.0,3.4,2.6,,,,,,
An Giang,00008489,Triệu Minh Thùy,8.2,2.0,3.6,,,,,,
Tiền Giang,00008490,Thiều Mỹ Anh,8.4,8.2,10.0,,,,,,
An Giang,00008491,Tôn Nữ Hải Nam,7.0,3.0,4.2,,,,5.2,,
Hà Giang,00008492,Tô Kim Huyền,4.0,3.6,3.4,0.2,,,,,0.8
Cần Thơ,00008493,Đậu Quang Thắng,3.0,4.6,6.8,,,,,,
Long An,00008494,Dương Hoàng Thịnh,2.4,3.8,2.2,,,,,,
Sơn La,00008495,Giang Tú Nhi,9.2,9.2,2.2,,,,,,
Ninh Thuận,00008496,Hàng Linh Giang,9.8,3.4,7.6,,,,,,
Ninh Thuận,00008497,Châu Hà Mi,5.6,7.2,5.4,,,,,,
Bắc Ninh,00008498,Châu Minh Thơ,7.2,5.0,3.4,,8.6,,,,
Đồng Nai,00008499,Thi Mỹ Uyên,4.2,6.6,9.4,,,,,,
Đắk Lắk,00008500,Lại Yến Ngọc,2.4,6.4,3.6,,,,,,
Bạc Liêu,00008501,Mạch Khải Nguyên,6.0,8.8,2.8,,,,,,
Hòa Bình,00008502,Đoàn Quân Bảo,3.2,2.8,5.0,,10.0,,,,
Cần Thơ,00008503,Triệu Quốc Duy,6.2,3.0,6.8,,,,,,2.8
Lạng Sơn,00008504,Doãn Quỳnh An,9.4,4.6,9.0,,,,,,
Đắk Lắk,00008505,Nhan Lê Huy,7.6,9.8,3.0,,,,,,
Hà Tĩnh,00008506,Vũ Quốc Thanh,7.4,9.0,10.0,,,,,,
Lạng Sơn,00008507,Thi Kiều Vy,5.2,6.4,2.2,,,,,,
Bắc Kạn,00008508,Hồ Gia Quỳnh,8.6,6.6,2.6,,,,7.2,,
Sơn La,00008509,Lục Phương Như,3.6,5.6,3.4,,,,,,
Trà Vinh,00008510,Ôn Phương Hà,6.4,5.4,9.2,,,,3.4,2.4,
Bà Rịa – Vũng Tàu,00008511,Vũ Thiên Trí,3.6,10.0,6.0,,,,,,
Cà Mau,00008512,Diệp Vũ Phong,5.6,9.4,10.0,,7.0,,,9.6,0.0
Lào Cai,00008513,Khưu Đức Hoàng,5.6,4.4,2.4,,,,,,
Cà Mau,00008514,Phan Thảo Hiền,4.0,7.8,2.2,3.6,,,,,
Kon Tum,00008515,Thạch Tường Lam,8.0,5.2,3.6,2.2,6.2,,,,
Sơn La,00008516,Lương Quốc Tiến,3.0,3.6,8.0,,,,,,
Đắk Lắk,00008517,Vương Thanh Ngân,6.6,2.8,3.6,,,,,,
Đà Nẵng,00008518,Lã Gia Bình,4.0,7.0,3.2,,,3.4,,,
Ninh Bình,00008519,Huỳnh Thanh Quý,10.0,9.0,7.4,,,,,,
Bình Thuận,00008520,Trịnh Kim Phương,3.2,6.6,9.4,,,,,,
Thành phố Hồ Chí Minh,00008521,Khưu Thiên Trang,7.8,2.8,5.4,,,,,,
Hải Phòng,00008522,Đặng Duy Phát,2.0,5.4,5.8,,,,,,
Ninh Thuận,00008523,Bùi Phương Khánh,9.4,6.6,8.0,5.2,,,,,
Lai Châu,00008524,Lai Tuấn Hùng,3.4,7.2,6.4,,10.0,,,,
Tuyên Quang,00008525,Hồng Nhật Tiến,8.6,2.0,4.4,,,,,,
Quảng Ninh,00008526,Nghiêm Nhật Nguyên,2.6,8.2,7.4,,,,,,
Vĩnh Phúc,00008527,Hồ Thanh Hiền,5.2,7.6,7.0,,,,,,
Lào Cai,00008528,Tiêu Minh Hòa,6.0,3.8,5.6,8.8,,,,,
Cao Bằng,00008529,Tiêu Hiển Long,4.8,7.8,9.8,,,1.2,,,
Trà Vinh,00008530,Tất Phi Long,4.0,2.8,3.0,,,,,,
Bắc Kạn,00008531,Lục Hoàng Châu,4.8,2.4,3.0,,,,,,
Trà Vinh,00008532,Thạch Thu Huyền,7.4,5.6,2.8,,,,,,
Nghệ An,00008533,Tạ Tuần Kiệt,5.4,2.4,3.2,0.4,,,,,
Thành phố Hồ Chí Minh,00008534,Liêu Thanh Tú,8.8,8.0,5.6,,,,,,
Điện Biên,00008535,Tạ Kim Xuyến,6.4,8.8,8.6,,7.8,,,,
Cần Thơ,00008536,Triệu Công Hiếu,3.4,4.8,3.6,,4.8,,,,
Quảng Ninh,00008537,Chế Khả Hân,8.2,8.0,2.4,,,,,,
Ninh Thuận,00008538,La Quang Dũng,5.8,2.8,8.8,,,8.0,,,
Đồng Tháp,00008539,Phùng Thanh Hồng,8.8,7.2,9.4,,1.4,7.2,,,
Thái Nguyên,00008540,Lư Hoàng Khôi,9.2,2.4,8.2,,,,,,
Hà Nam,00008541,Viên Thái An,7.0,2.0,4.2,0.4,,,,,
Quảng Bình,00008542,Trà Hoàng Anh,6.6,8.2,7.6,,,,,,
Ninh Thuận,00008543,Ôn Đình Trí,3.0,8.8,5.4,,,,,,
Lâm Đồng,00008544,Văn Phước Lộc,5.8,9.6,5.0,,,,2.6,3.0,
Lạng Sơn,00008545,Thân Bảo Khánh,4.8,3.0,10.0,,,,,,
Phú Yên,00008546,Hàng Hải Hà,8.6,7.2,8.8,,,,,,
Bạc Liêu,00008547,Âu Phú Thành,4.0,9.6,2.4,,,,,,
Vĩnh Phúc,00008548,Võ Nhật Anh,7.8,4.8,9.2,,,,,,
Lai Châu,00008549,Đường Hồng Lam,7.6,4.8,5.0,,,,,,
Bà Rịa – Vũng Tàu,00008550,Thạch Chí Đạt,8.2,6.2,4.4,,,,,,
Cao Bằng,00008551,Lưu Tú Như,5.2,5.2,10.0,,,,,,
Bến Tre,00008552,Từ Minh Nhựt,3.8,3.6,6.6,6.6,,,,,
Lào Cai,00008553,Dư Hoài An,6.6,5.8,2.2,,,,,,
Bến Tre,00008554,Diệp Kiều Oanh,3.0,8.4,9.2,,,,,,
Hưng Yên,00008555,Đoàn Huyền Anh,4.4,10.0,7.2,,,,,,
Đắk Nông,00008556,Khổng Quốc Toàn,3.0,4.8,8.8,,,,,,
Hải Phòng,00008557,Bùi Anh Trí,8.2,9.2,2.8,,,5.8,,,
Bình Dương,00008558,Viên Minh Cường,5.4,7.8,5.0,,,,,,
Bà Rịa – Vũng Tàu,00008559,Trương Duy Anh,6.8,6.4,3.6,,,,,,
Kiên Giang,00008560,Lai Nguyệt Minh,5.8,7.6,2.8,,,,,,
Tây Ninh,00008561,Lã Ngọc Trân,7.4,2.0,4.6,,,,,,
Đồng Tháp,00008562,Thạch Kim Tuyến,4.4,9.8,4.0,,,,,,
Bắc Ninh,00008563,Dư Ái Linh,4.4,8.8,9.2,,,,,,
Khánh Hòa,00008564,Trương Hoàng Tú,3.6,4.0,2.8,,2.2,,,,
Quảng Ngãi,00008565,Đinh Khánh Đoan,6.2,6.2,7.2,,,,,,
Bình Phước,00008566,Dư Nhật Khoa,6.6,9.8,9.8,,,,,,
Nghệ An,00008567,Ông Nhật Hạ,3.2,5.4,5.0,,,,,,
Thanh Hóa,00008568,Đinh Trà Mi,7.2,5.8,4.0,,,,,2.4,
Sơn La,00008569,Danh Quỳnh Trân,5.8,7.0,3.0,5.6,,,,9.6,
